year,school_operations,school_id
2022,3047288,86
2022,3834797,95
2022,1944058,472
2022,4675846,80
2022,5350975,96
2022,3733267,36
2022,3338049,49
2022,1866660,2085
2022,2004095,688
2022,3810726,6930
2022,2986090,27
2022,6191511,78
2022,6943095,69
2022,2106170,6948
2022,6293916,28
2022,5003456,44
2022,1273374,440
2022,5116306,452
2022,2239681,29
2022,2768591,32
2022,3766791,6929
2022,2478073,45
2022,5589369,43
2022,4915580,41
2022,2404740,65
2022,3581342,40
2022,2995905,58
2022,2264487,564
2022,3402507,88
2022,4214579,48
2022,5111423,100
2022,1648099,709
2022,3429112,81
2022,3336055,85
2022,4299527,87
2022,4889840,74
2022,3991268,75
2022,8828221,99
2022,1609813,1386
2022,2069089,1396
2022,3615671,42
